id|tollbooth_id|strech_name|motorbike|car|Car-axle|bus-2axle|bus-3axle|bus-4axle|truck-2axle|truck-3axle|truck-4axle|truck-5axle|truck-6axle|truck-7axle|truck-8axle|truck-9axle|Load-axle|road_length_km|fair_ref|sct_idVia|via|Motorbike-axle|Car-rush-hour|Car-evening-hour
706|431|SANCTORUM - JILOTEPEC|$           1 90.00|$            3 81.00|$    1 96.00|$          7 47.00|$          7 47.00|$          7 47.00|$          7 47.00|$          7 47.00|$          7 47.00|$      1 ,160.00|$       1 ,160.00|$       1 ,710.00|$       1 ,710.00|$            1 ,710.00|$    3 76.00||pase|||||
707|431|SANCTORUM - LIVERPOOL|$           1 90.00|$            3 81.00|$    1 96.00|$          7 47.00|$          7 47.00|$          7 47.00|$          7 47.00|$          7 47.00|$          7 47.00|$      1 ,160.00|$       1 ,160.00|$       1 ,710.00|$       1 ,710.00|$            1 ,710.00|$    3 76.00||pase|||||
708|431|SANCTORUM - QUERETARO|$           1 82.00|$            3 65.00|$    1 87.00|$          7 15.00|$          7 15.00|$          7 15.00|$          7 15.00|$          7 15.00|$          7 15.00|$      1 ,086.00|$       1 ,086.00|$       1 ,610.00|$       1 ,610.00|$            1 ,610.00|$    3 60.00||pase|||||
709|431|SANCTORUM - TULA II|$           1 59.00|$            3 18.00|$    1 63.00|$          6 20.00|$          6 20.00|$          6 20.00|$          6 20.00|$          6 20.00|$          6 20.00|$          9 43.00|$           9 43.00|$       1 ,398.00|$       1 ,398.00|$            1 ,398.00|$    3 12.00||pase|||||
710|431|SANCTORUM - TULA I|$           1 43.00|$            2 86.00|$    1 47.00|$          5 61.00|$          5 61.00|$          5 61.00|$          5 61.00|$          5 61.00|$          5 61.00|$          8 68.00|$           8 68.00|$       1 ,287.00|$       1 ,287.00|$            1 ,287.00|$    2 83.00||pase|||||
711|431|SANCTORUM - ATITALAQUIA|$           1 35.00|$            2 70.00|$    1 39.00|$          5 40.00|$          5 40.00|$          5 40.00|$          5 40.00|$          5 40.00|$          5 40.00|$          8 00.00|$           8 00.00|$       1 ,207.00|$       1 ,207.00|$            1 ,207.00|$    2 72.00||pase|||||
712|431|SANCTORUM - APAXCO|$           1 27.00|$            2 54.00|$    1 30.00|$          4 82.00|$          4 82.00|$          4 82.00|$          4 82.00|$          4 82.00|$          4 82.00|$          7 20.00|$           7 20.00|$       1 ,075.00|$       1 ,075.00|$            1 ,075.00|$    2 43.00||pase|||||
713|431|SANCTORUM - AJOLOAPAN|$           1 19.00|$            2 38.00|$    1 22.00|$          4 29.00|$          4 29.00|$          4 29.00|$          4 29.00|$          4 29.00|$          4 29.00|$          6 46.00|$           6 46.00|$           9 53.00|$           9 53.00|$                9 53.00|$    2 16.00||pase|||||
714|431|SANCTORUM - PACHUCA|$             9 0.00|$            1 80.00|$      9 2.00|$          3 28.00|$          3 28.00|$          3 28.00|$          3 28.00|$          3 28.00|$          3 28.00|$          5 08.00|$           5 08.00|$           7 36.00|$           7 36.00|$                7 36.00|$    1 65.00||pase|||||
715|431|SANCTORUM - TULANCINGO|$             6 1.00|$            1 22.00|$      6 2.00|$          2 12.00|$          2 12.00|$          2 12.00|$          2 12.00|$          2 12.00|$          2 12.00|$          3 34.00|$           3 34.00|$           4 82.00|$           4 82.00|$                4 82.00|$    1 07.00||pase|||||
716|431|SANCTORUM - SN MARTIN TEXMELUCAN|$             5 5.00|$            1 11.00|$      5 6.00|$          1 80.00|$          1 80.00|$          1 80.00|$          1 80.00|$          1 80.00|$          1 80.00|$          2 81.00|$           2 81.00|$           3 92.00|$           3 92.00|$                3 92.00|$      9 1.00||pase|||||
717|431|SANCTORUM - SAHAGUN|$             4 2.00|$               8 5.00|$      4 3.00|$          1 59.00|$          1 59.00|$          1 59.00|$          1 59.00|$          1 59.00|$          1 59.00|$          2 44.00|$           2 44.00|$           3 39.00|$           3 39.00|$                3 39.00|$      8 0.00||pase|||||
718|431|SANCTORUM - CALPULALPAN|$             2 4.00|$               4 8.00|$      2 4.00|$            6 9.00|$            6 9.00|$            6 9.00|$            6 9.00|$            6 9.00|$            6 9.00|$          1 17.00|$           1 17.00|$           1 54.00|$           1 54.00|$                1 54.00|$      3 5.00||pase|||||
719|430|SN MARTIN TEXMELUCAN - ATLACOMULCO|$           3 02.00|$            6 04.00|$    3 08.00|$      1 ,117.00|$      1 ,117.00|$      1 ,117.00|$      1 ,117.00|$      1 ,117.00|$      1 ,117.00|$      1 ,716.00|$       1 ,716.00|$       2 ,568.00|$       2 ,568.00|$            2 ,568.00|$    5 62.00||pase|||||
720|430|SN MARTIN TEXMELUCAN - ACAMBAY|$           2 86.00|$            5 72.00|$    2 92.00|$      1 ,064.00|$      1 ,064.00|$      1 ,064.00|$      1 ,064.00|$      1 ,064.00|$      1 ,064.00|$      1 ,626.00|$       1 ,626.00|$       2 ,415.00|$       2 ,415.00|$            2 ,415.00|$    5 36.00||pase|||||
721|430|SN MARTIN TEXMELUCAN - JILOTEPEC|$           2 46.00|$            4 92.00|$    2 52.00|$          9 27.00|$          9 27.00|$          9 27.00|$          9 27.00|$          9 27.00|$          9 27.00|$      1 ,440.00|$       1 ,440.00|$       2 ,102.00|$       2 ,102.00|$            2 ,102.00|$    4 67.00||pase|||||
722|430|SN MARTIN TEXMELUCAN - LIVERPOOL|$           2 46.00|$            4 92.00|$    2 52.00|$          9 27.00|$          9 27.00|$          9 27.00|$          9 27.00|$          9 27.00|$          9 27.00|$      1 ,440.00|$       1 ,440.00|$       2 ,102.00|$       2 ,102.00|$            2 ,102.00|$    4 67.00||pase|||||
723|430|SN MARTIN TEXMELUCAN - QUERETARO|$           2 38.00|$            4 77.00|$    2 44.00|$          8 95.00|$          8 95.00|$          8 95.00|$          8 95.00|$          8 95.00|$          8 95.00|$      1 ,366.00|$       1 ,366.00|$       2 ,002.00|$       2 ,002.00|$            2 ,002.00|$    4 51.00||pase|||||
724|430|SN MARTIN TEXMELUCAN - TULA II|$           2 14.00|$            4 29.00|$    2 19.00|$          8 00.00|$          8 00.00|$          8 00.00|$          8 00.00|$          8 00.00|$          8 00.00|$      1 ,223.00|$       1 ,223.00|$       1 ,790.00|$       1 ,790.00|$            1 ,790.00|$    4 04.00||pase|||||
725|430|SN MARTIN TEXMELUCAN - TULA I|$           1 98.00|$            3 97.00|$    2 03.00|$          7 41.00|$          7 41.00|$          7 41.00|$          7 41.00|$          7 41.00|$          7 41.00|$      1 ,149.00|$       1 ,149.00|$       1 ,679.00|$       1 ,679.00|$            1 ,679.00|$    3 74.00||pase|||||
726|430|SN MARTIN TEXMELUCAN - ATITALAQUIA|$           1 90.00|$            3 81.00|$    1 95.00|$          7 20.00|$          7 20.00|$          7 20.00|$          7 20.00|$          7 20.00|$          7 20.00|$      1 ,080.00|$       1 ,080.00|$       1 ,599.00|$       1 ,599.00|$            1 ,599.00|$    3 63.00||pase|||||
727|430|SN MARTIN TEXMELUCAN - AJOLOAPAN|$           1 75.00|$            3 50.00|$    1 78.00|$          6 09.00|$          6 09.00|$          6 09.00|$          6 09.00|$          6 09.00|$          6 09.00|$          9 27.00|$           9 27.00|$       1 ,345.00|$       1 ,345.00|$            1 ,345.00|$    3 07.00||pase|||||
728|430|SAN MARTIN TEXMELUCAN - APAXCO|$           1 82.00|$            3 65.00|$    1 86.00|$          6 62.00|$          6 62.00|$          6 62.00|$          6 62.00|$          6 62.00|$          6 62.00|$      1 ,001.00|$       1 ,001.00|$       1 ,467.00|$       1 ,467.00|$            1 ,467.00|$    3 34.00||pase|||||
729|430|SN MARTIN TEXMELUCAN - PACHUCA|$           1 45.00|$            2 91.00|$    1 48.00|$          5 08.00|$          5 08.00|$          5 08.00|$          5 08.00|$          5 08.00|$          5 08.00|$          7 89.00|$           7 89.00|$       1 ,128.00|$       1 ,128.00|$            1 ,128.00|$    2 56.00||pase|||||
730|430|SN MARTIN TEXMELUCAN - TULANCINGO|$           1 16.00|$            2 33.00|$    1 19.00|$          3 92.00|$          3 92.00|$          3 92.00|$          3 92.00|$          3 92.00|$          3 92.00|$          6 14.00|$           6 14.00|$           8 74.00|$           8 74.00|$                8 74.00|$    1 98.00||pase|||||
731|430|SN MARTIN TEXMELUCAN - SAHAGUN|$             9 8.00|$            1 96.00|$    1 00.00|$          3 39.00|$          3 39.00|$          3 39.00|$          3 39.00|$          3 39.00|$          3 39.00|$          5 24.00|$           5 24.00|$           7 31.00|$           7 31.00|$                7 31.00|$    1 72.00||pase|||||
732|430|SN MARTIN TEXMELUCAN - CALPULALPAN|$             7 9.00|$            1 59.00|$      8 0.00|$          2 49.00|$          2 49.00|$          2 49.00|$          2 49.00|$          2 49.00|$          2 49.00|$          3 97.00|$           3 97.00|$           5 45.00|$           5 45.00|$                5 45.00|$    1 26.00||pase|||||
733|430|SN MARTIN TEXMELUCAN - SANCTORUM|$             5 5.00|$            1 11.00|$      5 6.00|$          1 80.00|$          1 80.00|$          1 80.00|$          1 80.00|$          1 80.00|$          1 80.00|$          2 81.00|$           2 81.00|$           3 92.00|$           3 92.00|$                3 92.00|$      9 1.00||pase|||||
734|430|SN MARTIN TEXMELUCAN (ABIERTO)|$               8 .00|$               1 6.00|$         8 .00|$            2 6.00|$            2 6.00|$            2 6.00|$            2 6.00|$            2 6.00|$            2 6.00|$            6 4.00|$             6 4.00|$             7 4.00|$             7 4.00|$                  7 4.00|$      1 4.00||pase|||||
735|462|APAXCO - SAN MARTIN TEXMELUCAN|$           1 82.00|$            3 65.00|$    1 86.00|$          6 62.00|$          6 62.00|$          6 62.00|$          6 62.00|$          6 62.00|$          6 62.00|$      1 ,001.00|$       1 ,001.00|$       1 ,467.00|$       1 ,467.00|$            1 ,467.00|$    3 34.00||pase|||||
736|462|APAXCO - SANCTORUM|$           1 27.00|$            2 54.00|$    1 30.00|$          4 82.00|$          4 82.00|$          4 82.00|$          4 82.00|$          4 82.00|$          4 82.00|$          7 20.00|$           7 20.00|$       1 ,075.00|$       1 ,075.00|$            1 ,075.00|$    2 43.00||pase|||||
737|462|APAXCO - ATLACOMULCO|$           1 19.00|$            2 38.00|$    1 22.00|$          4 55.00|$          4 55.00|$          4 55.00|$          4 55.00|$          4 55.00|$          4 55.00|$          7 15.00|$           7 15.00|$       1 ,101.00|$       1 ,101.00|$            1 ,101.00|$    2 29.00||pase|||||
738|462|APAXCO - ACAMBAY|$           1 03.00|$            2 07.00|$    1 06.00|$          4 02.00|$          4 02.00|$          4 02.00|$          4 02.00|$          4 02.00|$          4 02.00|$          6 25.00|$           6 25.00|$           9 48.00|$           9 48.00|$                9 48.00|$    2 02.00||pase|||||
739|462|APAXCO - CALPULALPAN|$           1 03.00|$            2 07.00|$    1 06.00|$          4 13.00|$          4 13.00|$          4 13.00|$          4 13.00|$          4 13.00|$          4 13.00|$          6 04.00|$           6 04.00|$           9 21.00|$           9 21.00|$                9 21.00|$    2 08.00||pase|||||
740|462|APAXCO - SAHAGUN|$             8 4.00|$            1 69.00|$      8 7.00|$          3 23.00|$          3 23.00|$          3 23.00|$          3 23.00|$          3 23.00|$          3 23.00|$          4 77.00|$           4 77.00|$           7 36.00|$           7 36.00|$                7 36.00|$    1 62.00||pase|||||
741|462|APAXCO - TULANCINGO|$             6 6.00|$            1 32.00|$      6 8.00|$          2 70.00|$          2 70.00|$          2 70.00|$          2 70.00|$          2 70.00|$          2 70.00|$          3 87.00|$           3 87.00|$           5 93.00|$           5 93.00|$                5 93.00|$    1 36.00||pase|||||
742|462|APAXCO - JILOTEPEC|$             6 3.00|$            1 27.00|$      6 6.00|$          2 65.00|$          2 65.00|$          2 65.00|$          2 65.00|$          2 65.00|$          2 65.00|$          4 40.00|$           4 40.00|$           6 35.00|$           6 35.00|$                6 35.00|$    1 33.00||pase|||||
743|462|APAXCO - LIVERPOOL|$             6 3.00|$            1 27.00|$      6 6.00|$          2 65.00|$          2 65.00|$          2 65.00|$          2 65.00|$          2 65.00|$          2 65.00|$          4 40.00|$           4 40.00|$           6 35.00|$           6 35.00|$                6 35.00|$    1 33.00||pase|||||
744|462|APAXCO - AUT(MEXICO - QUERETARO)|$             5 5.00|$            1 11.00|$      5 7.00|$          2 33.00|$          2 33.00|$          2 33.00|$          2 33.00|$          2 33.00|$          2 33.00|$          3 65.00|$           3 65.00|$           5 35.00|$           5 35.00|$                5 35.00|$    1 18.00||pase|||||
745|462|APAXCO - AUT (MEXICO - PACHUCA)|$             3 7.00|$               7 4.00|$      3 8.00|$          1 54.00|$          1 54.00|$          1 54.00|$          1 54.00|$          1 54.00|$          1 54.00|$          2 12.00|$           2 12.00|$           3 39.00|$           3 39.00|$                3 39.00|$      7 7.00||pase|||||
746|462|APAXCO - TULA II|$             3 2.00|$               6 4.00|$      3 3.00|$          1 38.00|$          1 38.00|$          1 38.00|$          1 38.00|$          1 38.00|$          1 38.00|$          2 22.00|$           2 22.00|$           3 23.00|$           3 23.00|$                3 23.00|$      7 0.00||pase|||||
747|462|APAXCO - TULA I|$             1 6.00|$               3 2.00|$      1 7.00|$            7 9.00|$            7 9.00|$            7 9.00|$            7 9.00|$            7 9.00|$            7 9.00|$          1 48.00|$           1 48.00|$           2 12.00|$           2 12.00|$                2 12.00|$      4 0.00||pase|||||
748|462|APAXCO - AJOLOAPAN|$               8 .00|$               1 6.00|$         8 .00|$            5 3.00|$            5 3.00|$            5 3.00|$            5 3.00|$            5 3.00|$            5 3.00|$            7 4.00|$             7 4.00|$           1 22.00|$           1 22.00|$                1 22.00|$      2 6.00||pase|||||
749|462|APAXCO - ATITALAQUIA|$               8 .00|$               1 6.00|$         8 .00|$            5 8.00|$            5 8.00|$            5 8.00|$            5 8.00|$            5 8.00|$            5 8.00|$            7 9.00|$             7 9.00|$           1 32.00|$           1 32.00|$                1 32.00|$      3 0.00||pase|||||
750|415|TIJUANA-TECAT Y -LIB. DE TECATE|$             8 0.00|$            1 60.00|$      8 0.00|$          2 37.00|$          2 37.00|$          2 37.00|$          3 08.00|$          3 08.00|$          3 08.00|$          4 42.00|$           4 42.00|$           5 66.00|$           5 66.00|$                5 66.00|$    1 19.00|29.8|pase|119|Tecate-tijuana|||
751|418|ENT.  PASO DEL AGUILA-TIJUANA|$             4 7.00|$               9 3.00|$      4 4.00|$          1 38.00|$          1 38.00|$          1 38.00|$          1 79.00|$          1 79.00|$          1 79.00|$          2 56.00|$           2 56.00|$           3 28.00|$           3 28.00|$                3 28.00|$      6 9.00|17.2|pase|119|Tecate-tijuana|||
752|467|ENT. SANDOVAL - ENT. PASO DEL AGUILA|$             3 3.00|$               6 7.00|$      3 4.00|$          1 00.00|$          1 00.00|$          1 00.00|$          1 00.00|$          1 29.00|$          1 29.00|$          1 85.00|$           1 85.00|$           2 37.00|$           2 37.00|$                2 37.00|$      5 0.00||pase|||||
753|415|LIBRAMIENTO DE TECATE|$             2 9.00|$               5 8.00|$      2 9.00|$            8 3.00|$            8 3.00|$            8 3.00|$          1 07.00|$          1 07.00|$          1 07.00|$          1 50.00|$           1 50.00|$           1 94.00|$           1 94.00|$                1 94.00|$      4 1.00|12.25|pase|119|Tecate-tijuana|||
754|417|PLANTA DART-VALLE REDONDO TIJUANA|$             2 7.00|$               5 4.00|$      2 6.00|$            8 0.00|$            8 0.00|$            8 0.00|$          1 04.00|$          1 04.00|$          1 04.00|$          1 49.00|$           1 49.00|$           1 91.00|$           1 91.00|$                1 91.00|$      4 0.00|0|pase|119|Tecate-tijuana|||
755|150|ent. Esperanza-ent sandoval|$             1 1.00|$               2 2.00|$      1 0.00|$            2 9.00|$            2 9.00|$            2 9.00|$            4 1.00|$            4 1.00|$            4 1.00|$            5 8.00|$             5 8.00|$             6 8.00|$             6 8.00|$                  6 8.00|$      1 5.00|4.8|pase|119|Tecate-tijuana|||
756|565|CERRILLO - SAN NICOLAS|$             2 6.00|$               5 2.00|$      2 6.00|$            7 9.00|$            7 9.00|$            7 9.00|$          1 04.00|$          1 04.00|$          1 04.00|$          2 52.00|$           2 52.00|$           2 52.00|$           2 52.00|$                2 52.00|$      7 0.00||pase|||||
757|565|CERRILLO - AYOTUXCO|$             6 3.00|$            1 26.00|$      6 3.00|$          1 89.00|$          1 89.00|$          1 89.00|$          3 38.00|$          3 38.00|$          3 38.00|$          6 07.00|$           6 07.00|$           6 07.00|$           6 07.00|$                6 07.00|$    1 69.00||pase|||||
758|565|CERRILLO - CHAMAPA AUTOVAN|$             9 7.00|$            1 94.00|$      9 7.00|$          2 92.00|$          2 92.00|$          2 92.00|$          5 22.00|$          5 22.00|$          5 22.00|$          9 38.00|$           9 38.00|$           9 38.00|$           9 38.00|$                9 38.00|$    2 61.00||pase|||||
759|566|SAN NICOLAS - AYOTUXCO|$             3 7.00|$               7 4.00|$      3 7.00|$          1 11.00|$          1 11.00|$          1 11.00|$          1 98.00|$          1 98.00|$          1 98.00|$          3 55.00|$           3 55.00|$           3 55.00|$           3 55.00|$                3 55.00|$      9 9.00||pase|||||
760|566|SAN NICOLAS - CHAMAPA AUTOVAN|$             7 1.00|$            1 42.00|$      7 1.00|$          2 14.00|$          2 14.00|$          2 14.00|$          3 82.00|$          3 82.00|$          3 82.00|$          6 86.00|$           6 86.00|$           6 86.00|$           6 86.00|$                6 86.00|$    1 91.00||pase|||||
761|566|SAN NICOLAS - CERRILLO|$             2 6.00|$               5 2.00|$      2 6.00|$            7 9.00|$            7 9.00|$            7 9.00|$          1 40.00|$          1 40.00|$          1 40.00|$          2 52.00|$           2 52.00|$           2 52.00|$           2 52.00|$                2 52.00|$      7 0.00||pase|||||
762|567|AYOTUXCO - CHAMAPA AUTOVAN|$             3 4.00|$               6 8.00|$      3 4.00|$          1 03.00|$          1 03.00|$          1 03.00|$          1 84.00|$          1 84.00|$          1 84.00|$          3 31.00|$           3 31.00|$           3 31.00|$           3 31.00|$                3 31.00|$      9 2.00||pase|||||
763|567|AYOTUXCO - SAN NICOLAS|$             3 7.00|$               7 4.00|$      3 7.00|$          1 11.00|$          1 11.00|$          1 11.00|$          1 98.00|$          1 98.00|$          1 98.00|$          3 55.00|$           3 55.00|$           3 55.00|$           3 55.00|$                3 55.00|$      9 9.00||pase|||||
764|567|AYOTUXCO - CERRILLO|$             6 3.00|$            1 26.00|$      6 3.00|$          1 89.00|$          1 89.00|$          1 89.00|$          3 38.00|$          3 38.00|$          3 38.00|$          6 07.00|$           6 07.00|$           6 07.00|$           6 07.00|$                6 07.00|$    1 69.00||pase|||||
765|568|CHAMAPA AUTOVAN - AYOTUXCO|$             3 4.00|$               6 8.00|$      3 4.00|$          1 03.00|$          1 03.00|$          1 03.00|$          1 84.00|$          1 84.00|$          1 84.00|$          3 31.00|$           3 31.00|$           3 31.00|$           3 31.00|$                3 31.00|$      9 2.00||pase|||||
766|568|CHAMAPA AUTOVAN - SAN NICOLAS|$             7 1.00|$            1 42.00|$      7 1.00|$          2 14.00|$          2 14.00|$          2 14.00|$          3 82.00|$          3 82.00|$          3 82.00|$          6 86.00|$           6 86.00|$           6 86.00|$           6 86.00|$                6 86.00|$    1 91.00||pase|||||
767|568|CHAMAPA AUTOVAN - CERRILLO|$             9 7.00|$            1 94.00|$      9 7.00|$          2 92.00|$          2 92.00|$          2 92.00|$          5 22.00|$          5 22.00|$          5 22.00|$          9 38.00|$           9 38.00|$           9 38.00|$           9 38.00|$                9 38.00|$    2 61.00||pase|||||
768|330|AEROPUERTO LOS CABOS-SN. JOSE DEL CABO|$             2 4.00|$               4 9.00|$      2 5.00|$          1 04.00|$          1 04.00|$          1 04.00|$          1 03.00|$          1 03.00|$          1 64.00|$          1 64.00|$           1 64.00|$           1 64.00|$           1 64.00|$                1 64.00|$      5 2.00|20.2|pase|111|san josé del cabo-aeropuerto los cabos-cabo san lucas|||
769|330|AEROPUERTO LOS CABOS-CABO SAN LUCAS|$             5 6.00|$            1 13.00|$      5 7.00|$          2 30.00|$          2 30.00|$          2 30.00|$          2 26.00|$          2 26.00|$          3 64.00|$          3 64.00|$           3 64.00|$           3 64.00|$           3 64.00|$                3 64.00|$    1 13.00|42.344|pase|111|san josé del cabo-aeropuerto los cabos-cabo san lucas|||
770|86|SAN JOSE DEL CABO-CABO SAN LUCAS|$             4 4.00|$               8 9.00|$      4 5.00|$          1 76.00|$          1 76.00|$          1 76.00|$          1 74.00|$          1 74.00|$          2 79.00|$          2 79.00|$           2 79.00|$           2 79.00|$           2 79.00|$                2 79.00|$      8 7.00|32.824|pase|111|san josé del cabo-aeropuerto los cabos-cabo san lucas|||
771|86|SAN JOSE DEL CABO-EL MANGLE|$             4 7.00|$               9 5.00|$      4 8.00|$          1 94.00|$          1 94.00|$          1 94.00|$          1 90.00|$          1 90.00|$          3 05.00|$          3 05.00|$           3 05.00|$           3 05.00|$           3 05.00|$                3 05.00|$      9 5.00|35.54|pase|111|san josé del cabo-aeropuerto los cabos-cabo san lucas|||
772|332|CABO SAN LUCAS-EL MANGLE|$             2 5.00|$               5 1.00|$      2 6.00|$          1 06.00|$          1 06.00|$          1 06.00|$          1 05.00|$          1 05.00|$          1 67.00|$          1 67.00|$           1 67.00|$           1 67.00|$           1 67.00|$                1 67.00|$      5 3.00|19.684|pase|111|san josé del cabo-aeropuerto los cabos-cabo san lucas|||
773|86|SAN JOSÉ DEL CABO-CABO REAL|$             2 8.00|$               5 7.00|$      2 9.00|$          1 14.00|$          1 14.00|$          1 14.00|$          1 11.00|$          1 11.00|$          1 79.00|$          1 79.00|$           1 79.00|$           1 79.00|$           1 79.00|$                1 79.00|$      5 6.00||pase|||||
774|330|AEROPUERTO LOS CABOS-CABO REAL|$             4 1.00|$               8 2.00|$      4 1.00|$          1 67.00|$          1 67.00|$          1 67.00|$          1 64.00|$          1 64.00|$          2 65.00|$          2 65.00|$           2 65.00|$           2 65.00|$           2 65.00|$                2 65.00|$      8 2.00||pase|||||
775|330|AEROPUERTO LOS CABOS-EL MANGLE|$             6 0.00|$            1 20.00|$      6 0.00|$          2 46.00|$          2 46.00|$          2 46.00|$          2 41.00|$          2 41.00|$          3 87.00|$          3 87.00|$           3 87.00|$           3 87.00|$           3 87.00|$                3 87.00|$    1 21.00|45.06|pase|111|san josé del cabo-aeropuerto los cabos-cabo san lucas|||
776|333|EL MANGLE-CABO REAL|$             3 6.00|$               7 3.00|$      3 7.00|$          1 52.00|$          1 52.00|$          1 52.00|$          1 50.00|$          1 50.00|$          2 40.00|$          2 40.00|$           2 40.00|$           2 40.00|$           2 40.00|$                2 40.00|$      7 5.00||pase|||||
777|332|CABO REAL-CABO SAN LUCAS|$             3 3.00|$               6 6.00|$      3 3.00|$          1 37.00|$          1 37.00|$          1 37.00|$          1 34.00|$          1 34.00|$          2 15.00|$          2 15.00|$           2 15.00|$           2 15.00|$           2 15.00|$                2 15.00|$      6 7.00||pase|||||
778|330|AEROP. LOS CABOS RETORNO|$             6 0.00|$            1 20.00|$      6 0.00|$          2 46.00|$          2 46.00|$          2 46.00|$          2 41.00|$          2 41.00|$          3 87.00|$          3 87.00|$           3 87.00|$           3 87.00|$           3 87.00|$                3 87.00|$    1 21.00||pase|||||
779|333|EL MANGLE RETORNO|$             6 0.00|$            1 20.00|$      6 0.00|$          2 46.00|$          2 46.00|$          2 46.00|$          2 41.00|$          2 41.00|$          3 87.00|$          3 87.00|$           3 87.00|$           3 87.00|$           3 87.00|$                3 87.00|$    1 21.00||pase|||||
780|332|CABO SAN LUCAS RETORNO|$             5 6.00|$            1 13.00|$      5 7.00|$          2 30.00|$          2 30.00|$          2 30.00|$          2 26.00|$          2 26.00|$          3 64.00|$          3 64.00|$           3 64.00|$           3 64.00|$           3 64.00|$                3 64.00|$    1 13.00||pase|||||
781|86|SAN JOSE DEL CABO RETORNO|$             4 7.00|$               9 5.00|$      4 8.00|$          1 94.00|$          1 94.00|$          1 94.00|$          1 90.00|$          1 90.00|$          3 05.00|$          3 05.00|$           3 05.00|$           3 05.00|$           3 05.00|$                3 05.00|$      9 5.00||pase|||||
782|473|RAYÓN-VICENTE GUERRERO|$             3 1.00|$               6 3.00|$      3 1.00|$          1 10.00|$          1 10.00|$          1 10.00|$          1 10.00|$          1 10.00|$          1 10.00|$          1 62.00|$           1 62.00|$           2 09.00|$           2 09.00|$                2 09.00|$      5 7.00|18.2|pase|228|río verde-cd. Valles|||
783|476|VICENTE GUERRERO-LA PITAHAYA|$             9 1.00|$            1 83.00|$      9 1.00|$          3 04.00|$          3 04.00|$          3 04.00|$          3 04.00|$          3 04.00|$          3 04.00|$          3 87.00|$           3 87.00|$           5 24.00|$           5 24.00|$                5 24.00|$    1 57.00|50.3|pase|228|río verde-cd. Valles|||
784|475|VICENTE GUERRERO-TAMBACA|$             5 2.00|$            1 05.00|$      5 2.00|$          1 41.00|$          1 41.00|$          1 41.00|$          1 41.00|$          1 41.00|$          1 41.00|$          1 78.00|$           1 78.00|$           2 72.00|$           2 72.00|$                2 72.00|$      7 0.00|30|pase|228|río verde-cd. Valles|||
785|474|VICENTE GUERRERO-TAMASOPO|$             3 1.00|$               6 3.00|$      3 1.00|$            7 9.00|$            7 9.00|$            7 9.00|$            7 9.00|$            7 9.00|$            7 9.00|$            9 4.00|$             9 4.00|$           1 36.00|$           1 36.00|$                1 36.00|$      4 0.00|15|pase|228|río verde-cd. Valles|||
786|474|TAMASOPO-LA PITAHAYA|$             5 6.00|$            1 13.00|$      5 7.00|$          1 68.00|$          1 68.00|$          1 68.00|$          1 68.00|$          1 68.00|$          1 68.00|$          2 09.00|$           2 09.00|$           3 14.00|$           3 14.00|$                3 14.00|$      8 2.00|35.3|pase|228|río verde-cd. Valles|||
787|474|TAMASOPO-TAMBACA|$             3 1.00|$               6 3.00|$      3 1.00|$            7 3.00|$            7 3.00|$            7 3.00|$            7 3.00|$            7 3.00|$            7 3.00|$            9 2.00|$             9 2.00|$           1 36.00|$           1 36.00|$                1 36.00|$      3 7.00|15|pase|228|río verde-cd. Valles|||
788|475|TAMBACA-LA PITAHAYA|$             3 9.00|$               7 9.00|$      3 9.00|$            9 6.00|$            9 6.00|$            9 6.00|$            9 6.00|$            9 6.00|$            9 6.00|$          1 15.00|$           1 15.00|$           1 88.00|$           1 88.00|$                1 88.00|$      4 7.00|20.3|pase|228|río verde-cd. Valles|||
789|825|PERIFÉRICO - CUAUHTÉMOC|$              43.00|$               8 6.00|$       43.00|$          2 14.00|$          2 14.00|$          2 14.00|$          2 14.00|$          2 14.00|$          2 14.00|$          3 42.00|$           3 42.00|$           3 85.00|$           3 85.00|$                 385.00|$     107.00||pase|||||
790|825|PERIFÉRICO - CARMEN SERDÁN|$              29.00|$               5 8.00|$       29.00|$          1 45.00|$          1 45.00|$          1 45.00|$          1 45.00|$          1 45.00|$          1 45.00|$          2 32.00|$           2 32.00|$           2 61.00|$           2 61.00|$                 261.00|$       73.00||pase|||||
791|825|SANTA ANA - CUAUHTÉMOC|$              12.00|$               2 4.00|$       12.00|$             61.00|$             61.00|$             61.00|$             61.00|$             61.00|$             61.00|$             98.00|$              98.00|$           1 10.00|$           1 10.00|$                 110.00|$       31.00||pase|||||
792|825|CUAUHTÉMOC - PERIFÉRICO|$              43.00|$               8 6.00|$       43.00|$          2 14.00|$          2 14.00|$          2 14.00|$          2 14.00|$          2 14.00|$          2 14.00|$          3 42.00|$           3 42.00|$           3 85.00|$           3 85.00|$                 385.00|$     108.00||pase|||||
793|825|CUAUHTÉMOC - SANTA ANA|$              12.00|$               2 5.00|$       12.00|$             62.00|$             62.00|$             62.00|$             62.00|$             62.00|$             62.00|$             98.00|$              98.00|$           1 11.00|$           1 11.00|$                 111.00|$       31.00||pase|||||
